"Gericht_Id","Gericht_Bezeichnung","Gericht_Kurzbezeichnung","Gericht_Hoechstgericht","Gericht_Staat","Gericht_Teilrechtsordnung"
198,Rechtbank (Court) Amsterdam,Rechtbank Amsterdam,0,17,15
199,"Curtea Suprema˘ de Justit¸ie (Supreme Court of Justice) Administrative
Section",Supreme Court of Justice,0,21,19
200,Rechtbank (Court) Middelburg,Rechtbank Middelburg,0,17,15
201,"Tribunal Superior de Justicia de Galicia (Judgment of the
Superior Court of Galicia)",Tribunal Superior Galicia,0,24,22
202,"Sentencia de la Audiencia Provincial de Madrid (Judgment of the
Provincial Court of Madrid)",AP Madrid,0,24,22
203,Rechtbank Utrecht ,Rechtbank Utrecht ,0,17,15
204,Cour constitutionnelle,Cour constitutionnelle,0,2,2
205,Tribunal des conflits,TC,0,8,7
206,Court of First Instance Larissa,C 1st Larissa,0,10,9
207,Tribunale Amministrativo Regionale,TAR Lazio,0,14,12
208,Handelsgericht des Kantons Zürich,CC Zurich,0,26,24
209,Plovdiv Court of Appeal,PCA,0,29,57
210,Ustavni sud Republike Hrvatske,UsRH,1,32,60
211,Vrhovni sud Republike Hrvatske,VsRH,1,32,60
212,Županijski sud u Zagrebu,ZsZ,0,32,60
213,Županijski sud u Bjelovaru,ZsB,0,32,60
214,Thessaloniki Magistrate's Court,Thessaloniki MC,0,10,9
215,Court of Appeal,CA,0,16,14
216,Rechtbank Gravenhage,Rechtbank Gravenhage,0,17,15
217,Regional Court Nitra,RC Nitra,0,22,20
218,Juzgado de Primera Instancia,JPI,0,24,22
219,Audiencia Nacional,AN,0,24,22
220,Audiencia Provincial A Coruña,AP A Coruña,0,24,22
221,European Court of Human Rights,ECtHR,1,26,24
222,European Court of Human Rights,ECtHR,1,6,32
223,European Court of Human Rights,ECtHR,1,33,61
224,Supreme Court,SC,1,33,61
225,Peshtera District Court,PDC,0,29,57
226,Sofia City Court,S City Ct.,0,29,57
227,Županijski sud u Varaždinu,ZsV,0,32,60
228,Constitutional Court,CC,1,11,11
229,College voor de Rechten van de Mens,CRM,0,17,15
230,Sofia Regional Court,SRC,0,29,57
231,Blagoevgrad District Court,BlagDC,0,29,57
232,Haskovo District Court,HDC,0,29,57
233,Landgericht Cologne,LG Cologne,0,9,8
234,Landgericht Duisburg,LG Duisburg,0,9,8
235,Irish Court of Appeal,IECA,0,13,10
236,Supreme Administrative Court of Lithuania,SACL,1,16,14
237,Constitutional Court,CC,1,28,56
238,Hague District Court,Rechtbank d Haag,0,17,15
239,District Court Gelderland,Rechtbank Gelderland,0,17,15
240,Council of State,Conseil d'Etat,1,2,2
241,Veliko Turnovo Court of Appeal,VTCA,0,29,57
242,Županijski suda u Splitu (County Court in Split),ZsS,0,32,60
243,Županijski suda u Dubrovniku (County Court in Dubrovnik),ZsD,0,32,60
244,Judicial Committee of the Privy Council,UKPC,0,27,26
245,Court of Appeal of the North Aegean,CA North Aegean,0,10,9
246,Court of the Second Instance in Prešov,"2nd I Prešov",0,22,20
247,Tribunal cantonal du Canton du Valais,TC,0,26,24
248,Efeteio Kritis (Crete Court of Appeal),CCA,0,10,9
249,Polymeles Protodikeio Larissas (Larissa Multi-Member Court of First Instance),PPL,0,10,9
