"ENST_Id","ENST_Entscheidung","ENST_Stichwort"
1149,73,133
1150,73,148
1151,74,225
1152,74,214
1153,74,119
1154,74,127
1155,74,132
1156,74,133
1157,74,141
1158,74,148
1159,74,149
1160,73,132
1161,72,132
1162,18,132
1163,9,132
1164,6,132
1165,75,112
1166,75,141
1167,75,187
1168,75,198
1169,75,207
1170,76,32
1171,76,112
1172,76,187
1173,76,198
1174,76,207
1175,77,111
1176,77,112
1177,77,140
1178,77,182
1179,78,111
1180,78,112
1181,78,140
1182,78,182
1183,78,201
1184,77,201
1185,79,220
1186,79,214
1187,79,69
1188,79,152
1189,80,69
1190,80,75
1191,80,83
1192,80,220
1193,80,214
1194,80,152
1195,80,183
1196,80,201
1197,81,233
1198,81,80
1199,81,83
1200,81,214
1201,81,213
1202,81,220
1203,81,152
1204,80,213
1205,79,213
1206,82,32
1207,82,37
1208,82,40
1209,82,59
1210,82,69
1211,82,82
1212,82,83
1213,82,97
1214,82,220
1215,82,127
1216,82,152
1217,82,201
1218,82,207
1220,83,233
1221,83,83
1222,83,139
1223,83,152
1224,83,97
1225,83,100
1226,84,103
1227,84,140
1228,85,32
1229,85,187
1230,85,208
1232,86,32
1233,86,187
1234,86,207
1235,86,209
1236,87,217
1237,87,216
1238,87,56
1239,87,127
1240,87,132
1241,87,133
1242,87,141
1243,87,148
1244,87,149
1245,88,83
1247,88,223
1248,88,119
1249,88,140
1250,88,158
1251,89,217
1252,89,82
1253,89,215
1254,89,127
1255,89,132
1256,89,141
1257,89,149
1258,90,32
1259,90,112
1260,90,187
1261,90,198
1262,90,207
1264,91,32
1265,91,213
1266,91,187
1267,91,208
1268,91,209
1269,75,197
1270,86,197
1271,86,239
1272,92,32
1273,92,225
1274,92,187
1275,92,197
1276,92,207
1278,92,239
1279,72,207
1280,93,239
1281,93,187
1282,93,197
1283,93,207
1284,93,32
1285,94,83
1286,94,84
1287,94,97
1288,94,111
1289,94,214
1290,94,128
1291,94,172
1292,94,201
1293,95,216
1294,95,54
1295,95,175
1296,95,141
1297,95,56
1298,63,56
1299,63,54
1300,65,54
1301,65,56
1302,87,54
1303,96,132
1304,96,111
1305,97,32
1306,97,83
1307,97,132
1308,97,148
1309,97,191
1310,97,209
1311,98,83
1312,98,213
1313,98,111
1314,98,152
1315,98,139
1316,99,213
1317,99,111
1318,99,152
1319,99,139
1321,100,53
1322,100,158
1323,100,160
1325,101,97
1326,101,119
1327,101,149
1328,100,225
1329,101,225
1330,102,53
1331,102,225
1332,102,158
1333,102,160
1334,102,141
1335,103,225
1336,103,119
1337,103,141
1338,103,148
1339,103,149
1340,104,127
1341,105,227
1342,105,81
1343,105,103
1344,105,162
1345,105,141
1346,102,216
1347,106,217
1348,106,216
1349,106,127
1350,106,141
1351,107,82
1352,107,224
1353,108,122
1354,108,150
1355,111,152
1356,112,210
1357,112,140
1358,112,162
1359,112,171
1360,113,111
1361,113,119
1362,115,111
1363,117,238
1364,117,70
1365,117,117
1366,117,119
1367,117,133
1368,117,148
1369,117,153
1370,118,69
1372,118,102
1373,118,213
1374,119,82
1375,119,156
1376,119,187
1377,119,208
1378,120,21
